id,state,name,region,latitude,longitude,elevation_weather,snowforecast_id,resort_website,resort_website_weather_url,resort_website_new_snow_path,resort_website_new_snow_date_path,base_elevation,summit_elevation,active
36,MT,Great Divide,,46.56148,-112.30931,6325,Great-Divide,http://www.skigd.com/,http://www.skigd.com/,,,5900,7200,T
37,MT,Lost Trail Powder Mountain,,45.69302,-113.94835,7090,Lost-Trail---Powder-Mtn,http://www.losttrail.com/,http://www.losttrail.com/weather-snow/,,,8200,6400,T
38,MT,Maverick Mountain,,45.31545,-113.30974,7400,MaverickMountain,http://skimaverick.com/,http://skimaverick.com/mountain/snow-report/,,,6800,8800,T
39,MT,Montana Snow Bowl,,46.92083,-114.0925,3199,Montana-Snowbowl,http://www.montanasnowbowl.com/,http://www.montanasnowbowl.com/report.php3,,,5000,7600,T
40,MT,Moonlight Basin,,45.27,-111.43,8800,Moonlight-Basin,http://www.moonlightbasin.com/site/index.html,http://www.moonlightbasin.com/site/snow-conditions.html,,,7400,11200,T
41,MT,Red Lodge,,45.80694,-108.54222,3648,Red-Lodge-Mountain,http://www.redlodgemountain.com/,http://www.redlodgemountain.com/content.asp?section=mtn&page=snowreport&season=winter,,,7000,9400,T
42,MT,Showdown,,46.8353,-110.7175,8232,Showdown-Ski-Area,http://www.showdownmontana.com/,http://www.showdownmontana.com/,,,6800,8200,T
43,MT,Teton Pass,,47.92,-112.82,6400,Teton-Pass-Ski-Area,http://tetonpassresort.com/,http://tetonpassresort.com/about/snow-report,,,7200,8600,T
44,MT,Turner Mountain,,48.4667,-115.9167,1950,TurnerMountain,http://www.skiturner.com/,http://www.skiturner.com/,,,3800,6000,T
45,MT,Whitefish Mountain,,48.5394,-114.5594,3116,Big-Mountain,http://skiwhitefish.com/,http://skiwhitefish.com/snowreport.php,,,4500,6800,T
46,AK,Alyeska,,60.95386,-149.066877,0,Alyeska-Resort,http://www.alyeskaresort.com/,http://www.alyeskaresort.com/snow-report.aspx,,,250,4000,T
47,WY,Jackson Hole,,43.6,-110.73333,6450,Jackson-Hole,http://www.jacksonhole.com/,http://www.jacksonhole.com/weather-snow-report.html,,,6300,10450,T
48,WY,Antelope Butte,,44.52,-108.08,3940,Antelope-Butte,http://www.skiantelopebutte.com/,http://www.skiantelopebutte.com/c_reports/c1.htm,,,8400,9400,T
49,WY,Grand Targhee,,43.6,-110.73333,6450,Grand-Targhee,http://www.grandtarghee.com/,http://www.grandtarghee.com/the-mountain/conditions/index.php,,,7400,9800,T
50,WY,Snowy Range,,41.33,-105.68,7266,Snowy-Range-Ski-and-Recreation-Area,http://www.snowyrangeski.com/,http://www.snowyrangeski.com/the-mountain/snow-report,,,9000,10000,T
51,WY,Sleeping Giant,,44.54444,-110.42111,7835,SleepingGiant,http://www.skisg.com/,http://www.skisg.com/mountain-stats.php,,,6600,7400,T
52,WY,Snow King,,43.6,-110.73333,6450,Snow-King-Resort,http://www.snowking.com/Activities_WinterActivities_SkiArea.aspx,http://www.snowking.com/Activities_WinterActivities_SkiArea_SnowReport.aspx,,,6200,7800,T
53,WY,White Pine,,42.79528,-109.80694,7087,WhitePine,http://www.whitepineski.com/,Under construction,,,8400,9500,T
54,UT,Alta,,40.66,-111.5149,6855,Alta,http://www.alta.com/,http://www.alta.com/pages/report.php,,,8550,10550,T
55,UT,Brighton,,40.66,-111.5149,6855,Brighton-Resort,http://www.brightonresort.com/,http://www.brightonresort.com/skireport-main.html,,,8600,10500,T
56,UT,Snowbird,,40.66,-111.5149,6855,Snowbird,http://www.snowbird.com/index.html,http://www.snowbird.com/ski_board/snowreport.php,,,7800,11000,T
57,UT,Solitude,,40.66,-111.5149,6855,Solitude,http://www.skisolitude.com/,http://www.skisolitude.com/mountain/mountain_report.php,,,8000,10000,T
58,UT,Canyons,,40.66,-111.5149,6855,The-Canyons,http://www.canyonsresort.com/,http://www.canyonsresort.com/snow_report.html,,,6800,10000,T
59,UT,Deer Valley,,40.66,-111.5149,6855,Deer-Valley,http://www.deervalley.com/,http://www.deervalley.com/OnTheMountain/Mountain#RunAndLiftStatusSection,,,6600,10000,T
60,UT,Park City,,40.66,-111.5149,6855,Park-City,http://www.parkcitymountain.com/site/index.html,http://www.parkcitymountain.com/site/mountain-info/conditions/snow-report/snow_report,,,6900,10000,T
61,UT,Sundance,,40.48194,-111.42889,5936,Sundance,http://www.sundanceresort.com/explore/wnt_ski.html,http://www.sundanceresort.com/explore/wnt_ski_report.html,,,6100,8200,T
62,UT,Beaver Mountain,,41.78278,-111.85389,4452,Beaver-Mountain,http://www.skithebeav.com/,http://www.skithebeav.com/c/mountain/weather-report--cams,,,7200,8900,T
63,UT,Powder Mountain,,41.19361,-112.01639,4468,Powder-Mountain,http://www.powdermountain.com/,http://www.powdermountain.com/en/resort-conditions/,,,6900,9400,T
64,UT,Snowbasin,,41.19361,-112.01639,4468,Snow-Basin,http://www.snowbasin.com/,http://www.snowbasin.com/mountain/mountain-report/,,,6300,9300,T
65,UT,Brian Head,,37.70667,-113.09667,5627,Brian-Head-Resort,http://www.brianhead.com/winter,http://www.brianhead.com/winter/conditions/snow-report,,,9600,10900,T
66,UT,Eagle Point,,38.74,-112.1,5299,Eagle-Point-Resort,http://www.eaglepointresort.com/,http://www.eaglepointresort.com/content/snow-report,,,9100,10500,T
67,NM,Taos,,36.42,-105.29,8380,Taos,http://www.skitaos.org/,http://www.skitaos.org/weather,,,9200,11800,T
68,NM,Angel Fire,,36.42,-105.29,8380,Angel-Fire-Resort,http://www.angelfireresort.com/,http://www.angelfireresort.com/winter/mountain/snow-report,,,8600,10700,T
69,NM,Pajarito Mountain,,35.88,-106.28,7172,Pajarito-Mountain-Ski-Area,http://www.skipajarito.com/,http://www.skipajarito.com/conditions.php,,,9000,10500,T
70,NM,Red River,,34.11,-105.68,6499,Red-River,http://www.redriverskiarea.com/,http://www.redriverskiarea.com/snow-grooming-report,,,8800,10400,T
71,NM,Sandia Peak,,35.05,-106.62,5130,Sandia-Peak,http://www.sandiapeak.com/,http://sandiapeak.com/index.php?page=snow-report,,,8700,10400,T
72,NM,Sipapu,,36.46,-105.67,7090,Sipapu-Ski-and-Summer-Resort,http://www.sipapunm.com/,http://www.sipapunm.com/component/snowreport/?Itemid=300,,,8200,9200,T
73,NM,Ski Apache,,33.36,-105.67,6818,Ski-Apache,http://www.skiapache.com/,http://www.skiapache.com/the-mountain/snow-report-weather-conditions/,,,10100,12000,T
74,NM,Ski Santa Fe,,35.62,-106.08,6344,Ski-Santa-Fe,http://www.skisantafe.com/,http://skisantafe.com/index.php?page=snow-report,,,10300,12000,T
75,CA,Sugar Bowl,,39.0697,-120.42,5240,Sugar-Bowl,http://www.sugarbowl.com/home,http://www.sugarbowl.com/snowreport,,,6900,8400,T
76,CA,Squaw,,39.202,-120.23267,6532,Squaw-Valley-USA,http://www.squaw.com/,http://www.squaw.com/the-mountain/conditions,,,6200,9050,T
77,CA,Alpine Meadows,,39.202,-120.23267,6532,Alpine-Meadows,http://www.skialpine.com/,http://www.skialpine.com/mountain/snow-report,,,6400,8600,T
78,CA,Bear Mountain,,34.2661,-116.8989,6900,Bear-Mountain,http://www.bearmountain.com/snowboard/,http://www.bearmountain.com/snowboard/snow-report/current-snow-report/#conditions,,,7100,8800,T
79,CA,Bear Valley Mountain,,38.3458,-120.2294,6064,Bear-Valley,http://www.bearvalley.com/,http://www.bearvalley.com/the-mountain/snow-report/,,,6600,8500,T
80,CA,China Peak,,36.78,-119.71944,331,China-Peak,http://www.skichinapeak.com/trailmap.aspx,http://www.skichinapeak.com/conditions.aspx,,,7000,8700,T
81,CA,Dodge Ridge,,38.0631,-120.2472,4942,Dodge-Ridge,http://www.dodgeridge.com/site/,http://one.prance.com/php/iPrance/DodgeRidge/snowreport.php,,,6600,8200,T
82,CA,Heavenly,,36.78,-119.71944,331,Heavenly-Ski,http://www.skiheavenly.com/,http://www.skiheavenly.com/the-mountain/snow-report/snow-report.aspx,,,6500,10000,T
83,CA,Homewood Mountain,,39.0836,-120.1711,7121,Homewood-Mountain-Resort,http://www.skihomewood.com/,http://www.skihomewood.com/mountain/snow-report,,,6200,7800,T
84,CA,Kirkwood,,38.7358,-120.2417,5240,Kirkwood-Mountain,http://winter.kirkwood.com/site/,http://winter.kirkwood.com/site/mountain/snow-report/2012-11-13-0,,,7800,9800,T
85,CA,Mammoth Mountain,,37.650547,-119.037654,8915,Mammoth-Mountain,http://www.mammothmountain.com/,http://www.mammothmountain.com/Mountain/Conditions/SnowLifts/,,,7900,11000,T
86,CA,Mountain High,,34.3789,-117.6919,6917,Mountain-High-Resort,http://www.mthigh.com/,http://www.mthigh.com/trails-conditions/snow-report,,,6000,8200,T
87,CA,Mt. Baldy,,34.2365,-117.65883,4101,Mt-Baldy,http://www.mtbaldyskilifts.com/,http://www.mtbaldyskilifts.com/weather.lasso,,,6500,8600,T
88,CA,Mt. Shasta,,41.31583,-122.31611,3533,Mt-Shasta,http://skipark.com/,http://skipark.com/the-mountain/conditions,,,5500,6900,T
89,CA,Northstar-at-Tahoe,,39.2733,-120.1025,,Northstar-at-Tahoe,http://www.northstarattahoe.com/,http://www.northstarattahoe.com/snowreport.asp,,,6300,8600,T
90,CA,Sierra-at-Tahoe,,38.7358,-120.2417,5240,Sierra-at-Tahoe,http://www.sierraattahoe.com/,http://www.sierraattahoe.com/mountain/conditions,,,6600,8900,T
91,CA,Snow Summit Mountain,,34.2661,-116.8989,6900,Snow-Summit,http://www.snowsummit.com/ski/,http://www.snowsummit.com/ski/snow-report/current-snow-report/,,,7000,8200,T
92,CO,Arapahoe Basin,,39.48,-106.15,12074,Arapahoe-Basin,http://www.arapahoebasin.com/Abasin/Default.aspx,http://www.arapahoebasin.com/ABasin/snow-conditions/default.aspx,,,10800,13000,T
93,CO,Aspen Heights,,39.22,-106.87,8018,Aspen-Highlands,http://www.aspensnowmass.com/en/aspen-highlands,http://www.aspensnowmass.com/en/aspen-highlands/snow-report-for-aspen-highlands,,,8000,11700,T
94,CO,Aspen Mountain,,39.22,-106.87,8018,Aspen-Mountain,http://www.aspensnowmass.com/aspen-mountain,http://www.aspensnowmass.com/aspen-mountain/snow-report-for-aspen-mountain,,,8000,11200,T
95,CO,Winter Park,,40.04,-105.23,5288,Winter-Park,http://www.winterparkresort.com/,http://www.winterparkresort.com/the-mountain/snow-report.aspx,,,9000,12000,T
96,CO,Buttermilk,,39.22,-106.87,8018,Buttermilk,http://www.aspensnowmass.com/buttermilk,http://www.aspensnowmass.com/buttermilk/snow-report-for-buttermilk,,,7900,9900,T
97,CO,Copper Mountain,,39.48,-106.15,12074,Copper-Mountain,http://www.coppercolorado.com/winter/index.html,http://www.coppercolorado.com/winter/the_mountain/dom/snow.html,,,9700,12300,T
98,CO,Crested Butte,,38.55,-106.92,7674,Crested-Butte-Mountain,http://www.skicb.com/cbmr/index.aspx,http://www.skicb.com/cbmr/snow-report.aspx,,,8800,11900,T
99,CO,Eldora,,40.04,-105.23,5288,Eldora-Mountain-Resort,http://www.eldora.com/mountain.snow.php,,,,9200,10600,T
100,CO,Loveland,,39.48,-106.15,12074,Loveland,http://skiloveland.com/,http://www.skiloveland.com/themountain/reports/snowreport.aspx,,,10600,12700,T
101,CO,Monarch,,38.5,-106.32,12031,Monarch-Ski-Area,http://www.skimonarch.com/,http://store.skimonarch.com/snow_report/,,,10800,12000,T
102,CO,Powderhorn,,46.54,-90.13,1230,Powderhorn,http://www.powderhorn.com/,http://www.powderhorn.com/snow-report,,,8200,9900,T
103,CO,Purgatory,,37.94,-107.77,9085,Purgatory-Resort,http://www.durangomountainresort.com/,http://www.durangomountainresort.com/snowreport/,,,8800,10800,T
104,CO,Silverton,,37.94,-107.77,9085,Silverton-Mountain,http://www.silvertonmountain.com/page/home,http://www.silvertonmountain.com/page/mountain/snow,,,10400,13300,T
105,CO,Ski Cooper,,39.3,-106.2,11591,Ski-Cooper,http://www.skicooper.com/,,,,10500,11700,T
106,CO,Snowmass,,39.22,-106.87,8018,Snowmass,http://www.aspensnowmass.com/snowmass,http://www.aspensnowmass.com/snowmass/snow-report-for-snowmass,,,8100,12500,T
107,CO,Steamboat,,40.48,-106.82,7051,Steamboat-Ski,http://www.steamboat.com/,http://www.steamboat.com/the-mountain/snow-and-weather-report.aspx,,,6900,10600,T
108,CO,Sunlight,,39.54,-107.72,5548,Sunlight-Mountain-Resort,http://www.sunlightmtn.com/,http://www.sunlightmtn.com/mountain/current-conditions,,,7900,9900,T
109,CO,Telluride,,37.94,-107.77,9085,Telluride,http://tellurideskiresort.com/tellski/index.aspx,http://tellurideskiresort.com/TellSki/snow-report.aspx,,,8700,12600,T
110,CO,Wolf Creek,,37.46,-106.8,11759,Wolf-Creek-Ski-Area,http://www.wolfcreekski.com/,http://www.wolfcreekski.com/wolf-creek-snow-report.php,,,10300,11900,T
111,CO,Keystone,,39.48,-106.15,12074,Keystone-Resort,http://www.keystoneresort.com/,http://www.keystoneresort.com/ski-and-snowboard/snow-report.aspx,,,9100,12200,T
